Date,Week,Location,Total Vaccines Given,Total J&J Vaccines,Total Moderna Vaccines,Total Pfizer Vaccines,second_booster_janssen,second_booster_moderna,second_booster_pfizer,Total Booster Given 18+,Total Booster Given 18+ %,Total Booster Given 65+,Total Booster Given 65+ %
05-03-2023,18,AL,12322100,402500,4797960,5848060,347,166339,179862,364359,0.096,201029,0.237
05-03-2023,18,HI,4657350,124900,1504020,2369320,123,146561,163640,302154,0.271,141745,0.528
05-03-2023,18,RI,3519625,90600,1154400,1754745,178,101783,127409,256830,0.3,111458,0.596
05-03-2023,18,GA,28656825,869100,9763000,14773655,481,410252,539725,1059221,0.131,471454,0.311
04-26-2023,17,SD,2699775,94000,882400,1326385,27,41279,65558,145547,0.218,74485,0.49
04-26-2023,17,NE,5458380,152400,1647380,2904460,131,107225,216540,315836,0.217,149276,0.478
04-26-2023,17,FM,291840,12800,127940,115460,4,5951,9803,12025,0.18,1138,0.236
04-26-2023,17,BP2,420530,16200,172520,199110,3,2634,6156,9774,0.0,677,0.0
04-26-2023,17,KS,8312875,262700,2757140,4161795,263,152966,237010,429105,0.1939999999999999,210829,0.4429999999999999
04-26-2023,17,MT,2704635,106500,952100,1267535,133,62906,87809,161430,0.192,85298,0.413
04-26-2023,17,IL,38130085,1185600,11169140,19851535,1276,918124,1455499,2381158,0.242,1009374,0.494
04-26-2023,17,TX,80435365,2667600,25478340,43584365,114,1221227,1504067,3008821,0.139,1246403,0.3339999999999999
04-26-2023,17,MI,29471460,967800,9925120,14452250,520,699838,950102,1680951,0.214,817026,0.4629999999999999
04-26-2023,17,TN,17111220,533400,5670340,8759050,785,299922,413339,670683,0.126,346730,0.303
04-26-2023,17,IA,9363025,293100,3077920,4577895,109,223548,355060,593246,0.244,305171,0.552
04-26-2023,17,PR,8831280,216600,2843120,5014090,252,186859,249304,321693,0.123,163066,0.24
04-26-2023,17,VT,2571730,74200,831220,1244690,72,62877,119497,193878,0.38,84409,0.675
04-26-2023,17,DC,2742985,73200,795480,1425045,95,60734,86783,208797,0.362,49551,0.5670000000000001
04-26-2023,17,ND,1901820,53600,600920,990720,7,28277,62595,112112,0.193,56662,0.473
04-26-2023,17,OK,9658000,342300,3591280,4611140,183,162194,204433,454003,0.151,237196,0.373
04-26-2023,17,KY,12153935,395600,4310000,5909535,321,215350,294449,533797,0.154,272930,0.364
04-26-2023,17,VI,173200,3400,44240,115760,1,902,1260,4106,0.05,2331,0.114
04-26-2023,17,NJ,29483495,1015900,9139940,15503585,936,549061,730221,1417746,0.204,596872,0.405
04-26-2023,17,DE,3331835,102600,1071000,1651775,92,66911,95155,194377,0.252,100686,0.5329999999999999
04-26-2023,17,FL,61238995,2477700,20028720,31997445,2458,1106574,1311691,2400143,0.139,1373514,0.305
04-26-2023,17,MO,15591275,441000,5140460,7967645,234,295500,445696,856554,0.18,430818,0.406
04-26-2023,17,WV,5498295,172600,1967420,2696125,79,92041,111471,202129,0.141,114088,0.311
04-26-2023,17,MD,22237870,616400,6422360,11813400,863,528506,778987,1344510,0.285,530767,0.5529999999999999
04-26-2023,17,NC,30151230,959600,9753880,15371580,218,298197,378054,1451721,0.177,680508,0.389
04-26-2023,17,MP,151290,3700,28020,108950,1,547,3577,4038,0.1119999999999999,801,0.213
04-26-2023,17,NY,61058175,1964500,18769880,32657655,2059,1149308,1617222,3216045,0.208,1381428,0.419
04-26-2023,17,NM,6144115,190600,2020200,3002385,284,162882,211205,431733,0.266,197079,0.522
04-26-2023,17,PA,42655195,1569200,13941120,21178525,527,744447,1059865,2252226,0.222,1095875,0.4579999999999999
04-26-2023,17,AK,2162725,86200,718520,1079425,63,41410,53603,94884,0.172,38849,0.424
04-26-2023,17,CA,120437235,3785200,37596780,63095065,2721,3173050,4220654,7495253,0.245,2798070,0.479
04-26-2023,17,SC,14142465,466400,5125140,6858095,265,230332,285153,574651,0.142,323811,0.346
04-26-2023,17,NV,7693550,260400,2313400,4208770,57,129884,194543,379709,0.159,181001,0.365
04-26-2023,17,RI,3505985,90600,1154400,1754745,178,101626,127208,255381,0.299,110445,0.59
04-26-2023,17,CO,17699825,501900,5402640,9029415,469,419730,728664,1155821,0.257,450626,0.535
04-26-2023,17,DD2,7764290,210800,2346340,4629770,122,53323,124727,178916,0.0,35260,0.0
04-26-2023,17,VA,26688325,803400,8071900,14048145,939,614252,906625,1658453,0.248,690620,0.508
04-26-2023,17,WY,1277235,49300,490040,585605,28,25388,33066,62391,0.14,34285,0.346
04-26-2023,17,ME,4950900,159400,1595120,2361030,123,143291,212024,389618,0.356,198503,0.696
04-26-2023,17,UT,8398190,257900,2420360,4652010,360,126370,290050,421754,0.185,163961,0.4479999999999999
04-26-2023,17,OR,14097425,466700,4482360,7060535,355,319020,556712,864327,0.258,366092,0.478
04-26-2023,17,US,979617855,31552000,313437520,505340005,23940,20100539,28477129,52331682,0.203,23320318,0.426
04-26-2023,17,ID,4730230,160200,1604380,2346190,102,89042,126962,233099,0.174,120702,0.415
04-26-2023,17,PW,52580,3800,30900,14390,0,1739,678,1831,0.11,311,0.156
04-26-2023,17,GA,28619115,869100,9763000,14773655,481,409342,538330,1051543,0.13,467162,0.308
04-26-2023,17,MS,7225705,235400,2600260,3695395,160,102711,112456,192578,0.085,109274,0.225
04-26-2023,17,AZ,19864230,621000,6493320,10188940,1239,419023,589151,1055893,0.187,512016,0.391
04-26-2023,17,AR,8343140,265400,3075220,4016440,125,139586,153094,315061,0.136,173400,0.331
04-26-2023,17,IH2,4102695,111800,1529280,1950935,22,48847,67000,153675,0.0,46956,0.0
04-26-2023,17,HI,4636820,124900,1504020,2369320,123,146192,163289,300733,0.2689999999999999,140905,0.525
04-26-2023,17,GU,386180,25100,99980,232940,7,8115,11868,16515,0.144,4447,0.2769999999999999
04-26-2023,17,NH,5092590,189000,1454740,2624840,88,73253,160753,302641,0.2739999999999999,145286,0.5720000000000001
04-26-2023,17,OH,31560665,1014000,10088440,16355895,1157,715624,1113950,1773666,0.195,882793,0.431
04-26-2023,17,CT,11824735,355100,3940280,5856215,121,311415,393937,849177,0.299,378410,0.6
04-26-2023,17,MA,23595600,633500,7490080,11662830,285,670517,807292,1944331,0.351,753115,0.644
04-26-2023,17,WA,25432585,777800,7783800,12807915,790,659377,1071362,1796979,0.302,699880,0.579
04-26-2023,17,IN,18899860,634000,5571300,10052520,524,269177,464855,705609,0.1369999999999999,357975,0.33
04-26-2023,17,MN,18431600,511500,5378420,9468070,337,475338,906851,1384620,0.319,594522,0.6459999999999999
04-26-2023,17,VA2,9862200,626900,4250780,3780780,58,300392,277719,872785,0.0,565265,0.0
04-26-2023,17,AS,128480,600,25000,100770,0,532,1917,567,0.018,199,0.061
04-26-2023,17,WI,16390495,457200,5144600,8183105,257,474352,754714,1235965,0.271,591007,0.581
04-26-2023,17,MH,162240,12800,74500,53540,0,3198,1571,4486,0.094,356,0.095
04-26-2023,17,AL,12305740,402500,4797960,5848060,347,166077,179543,362246,0.095,199736,0.235
04-26-2023,17,LA,10247570,330500,3807980,5164550,180,159612,214947,344589,0.0969999999999999,181870,0.245
04-19-2023,16,DD2,7762950,210800,2346340,4629770,121,53205,124486,178037,0.0,35140,0.0
04-19-2023,16,IH2,4099115,111800,1529280,1950935,22,48703,66678,152492,0.0,46637,0.0
04-19-2023,16,WA,25360615,777800,7783800,12807915,790,658261,1069318,1787492,0.3,694681,0.574
04-19-2023,16,KS,8298495,262700,2757140,4161795,263,152790,236680,427736,0.193,210190,0.442
04-19-2023,16,NH,5087780,189000,1454740,2624840,88,73172,160436,301835,0.273,144911,0.5710000000000001
04-19-2023,16,WY,1276035,49300,490040,585605,28,25358,33007,62146,0.14,34171,0.345
04-19-2023,16,CA,120242535,3785200,37596780,63095065,2719,3168348,4213194,7467706,0.244,2789228,0.478
04-19-2023,16,DE,3327515,102600,1071000,1651775,92,66907,95144,194311,0.252,100656,0.5329999999999999
04-19-2023,16,CO,17678745,501900,5402640,9029415,469,419694,728622,1155484,0.257,450417,0.535
04-19-2023,16,PW,52580,3800,30900,14390,0,1739,678,1831,0.11,311,0.156
04-19-2023,16,AL,12296740,402500,4797960,5848060,347,165724,179200,360317,0.094,198621,0.2339999999999999
04-19-2023,16,US,978124175,31552000,313437520,505338835,23894,20071269,28426315,52117186,0.2019999999999999,23221265,0.424
04-19-2023,16,NV,7677010,260400,2313400,4208770,57,129669,194235,377596,0.158,180029,0.363
04-19-2023,16,NC,30093850,959600,9753880,15371580,218,297444,376604,1444870,0.176,676802,0.387
04-19-2023,16,MT,2700405,106500,952100,1267535,132,62784,87637,160681,0.191,84940,0.411
04-19-2023,16,NJ,29443525,1015900,9139940,15503585,936,548226,729091,1411437,0.203,593641,0.402
04-19-2023,16,OH,31510065,1014000,10088440,16355895,1156,714484,1112095,1766004,0.1939999999999999,878961,0.43
